Libellé de la commune,Code de la commune,Nom de l'élu,Prénom de l'élu,Date de début du mandat
Barzy-En-Thiérache,02050,TELLIER,Pierre-Marie,18/05/2020
Barzy-Sur-Marne,02051,BOHAIN,Jean-Claude,18/05/2020
Bassoles-Aulers,02052,HERBULOT,Isabelle,18/05/2020
Vallées En Champagne,02053,LAHOUATI,Bruno,18/05/2020
Bazoches-Et-Saint-Thibaut,02054,DROUET,Christian,01/01/2022
Beaumé,02055,HESTERS,Jean-Luc,28/06/2020
Beaumont-En-Beine,02056,GAMBART,Christian,28/06/2020
Beaurevoir,02057,WABONT,Christian,18/05/2020
Beaurieux,02058,COFFINET,Jean-Paul,18/05/2020
Beautor,02059,GOARIN,Jackie,18/05/2020
Beauvois-En-Vermandois,02060,LEFEVRE,Bruno,18/05/2020
Becquigny,02061,MOREL,Pierre,18/05/2020
Belleau,02062,LEBOULANGER,Emmanuel,28/06/2020
Bellenglise,02063,DUQUENNE,Vincent,18/05/2020
Belleu,02064,MONTARON,Philippe,18/05/2020
Bellicourt,02065,LECLERE,Marcel,18/05/2020
Benay,02066,MASSON,Jacques,18/05/2020
Bergues-Sur-Sambre,02067,LACOCHE,Frédéric,18/05/2020
Berlancourt,02068,TORRE,Philippe,18/05/2020
